Emp Name,Expense Type,Payment Thru,Amount,Service Fee,Total Amount,Transaction Date,Country,Department
Anthony Cordova,Air,Card,1905.07,99.27,2004.34,2024-10-10,India,SALS
Jason Weeks,Car,Cash,605.4,53.19,658.59,2024-06-24,Australia,ADMN
Holly White,Car,Cash,1478.16,108.88,1587.04,2024-07-30,United Kingdom,ADMN
Mr. George Henry,Hotel,Card,1439.8,140.91,1580.71,2023-04-30,Australia,EXEC
Dawn Hopkins,Hotel,Card,1502.54,71.81,1574.35,2023-01-26,Germany,SALS
James Peters,Hotel,Card,1175.87,54.7,1230.57,2024-07-08,Australia,ADMN
Michelle Butler,Air,Card,1102.15,31.57,1133.72,2023-10-14,India,ENGG
Terrance Cross,Meals,Cash,74.74,5.29,80.03,2024-09-11,India,ADMN
Noah Torres,Air,Cash,1584.01,96.18,1680.19,2024-04-14,United States,FINC
Destiny Green,Air,Card,360.61,8.45,369.06,2023-01-28,United States,FINC
Sean Waller,Air,Card,476.05,31.89,507.94,2023-10-02,Germany,FINC
Carrie Shepard,Hotel,Card,524.71,27.85,552.56,2023-09-17,United Kingdom,SALS
Angela Davila,Meals,Card,272.18,25.36,297.54,2024-03-17,Canada,EXEC
Michael Mcdaniel,Car,Card,751.24,47.25,798.49,2023-02-22,India,FINC
Michael Johnson,Meals,Card,974.82,36.33,1011.15,2024-10-02,India,ENGG
Lisa Nelson DDS,Car,Card,739.87,60.46,800.33,2023-11-23,Canada,SALS
Marcus Lee,Hotel,Cash,833.99,81.13,915.12,2024-06-09,India,EXEC
Michael Crawford,Car,Cash,1596.73,50.33,1647.06,2024-09-28,United Kingdom,ADMN
Laurie Cardenas,Hotel,Cash,112.25,7.65,119.9,2024-03-08,Canada,EXEC
Robert Nelson,Air,Card,1868.56,126.24,1994.8,2024-02-28,India,FINC
Julie Ballard,Car,Cash,274.09,20.09,294.18,2024-03-12,India,ENGG
Jill Horn,Meals,Card,482.92,48.13,531.05,2024-04-28,Australia,FINC
Patricia Matthews,Car,Card,1681.33,157.5,1838.83,2024-05-31,Canada,SALS
Michelle Hatfield,Air,Card,1515.02,64.67,1579.69,2023-05-21,United States,ENGG
Justin Allen,Hotel,Cash,653.55,14.17,667.72,2023-08-20,Australia,EXEC
Christopher Torres,Car,Card,1628.62,114.99,1743.61,2023-09-04,Germany,ENGG
Reginald Garcia,Meals,Cash,1066.32,100.91,1167.23,2024-09-09,Australia,SALS
Melissa Decker,Air,Card,719.16,27.71,746.87,2024-07-27,Canada,FINC
Donald Lawrence,Hotel,Cash,1739.48,115.27,1854.75,2024-11-01,Australia,ADMN
Diana Knight,Air,Cash,1551.43,34.59,1586.02,2023-10-08,Canada,SALS
Bonnie Hogan,Car,Cash,990.05,96.46,1086.51,2023-11-30,Germany,FINC
Rebecca Murphy,Air,Cash,1844.11,173.08,2017.19,2024-06-24,Canada,FINC
Brian Gray,Car,Cash,376.99,37.49,414.48,2023-08-04,United Kingdom,SALS
Bradley Davis,Meals,Card,234.72,15.35,250.07,2023-01-22,India,ADMN
Lisa Campbell,Meals,Cash,931.39,76.68,1008.07,2024-10-20,United Kingdom,EXEC
Brandon Bender,Air,Card,359.12,32.76,391.88,2024-09-19,United States,FINC
Christopher Armstrong,Meals,Cash,217.91,11.12,229.03,2023-11-18,United States,ADMN
Frank Atkinson,Car,Card,475.52,26.33,501.85,2023-04-15,United Kingdom,FINC
Leslie Mccall,Meals,Cash,507.81,45.39,553.2,2023-09-30,United States,SALS
Pamela Ball,Air,Cash,853.76,61.31,915.07,2023-02-14,United Kingdom,ADMN
Sarah Castro,Car,Cash,1576.6,119.2,1695.8,2023-09-19,Canada,SALS
Elizabeth Contreras,Hotel,Cash,144.79,3.17,147.96,2024-09-02,Australia,ADMN
Jose Delacruz,Hotel,Cash,203.37,8.25,211.62,2024-06-09,India,ADMN
Caleb Larsen,Air,Cash,543.9,38.73,582.63,2023-06-08,Canada,EXEC
Scott Flores,Hotel,Card,338.51,20.06,358.57,2023-12-14,Germany,ENGG
Calvin Bennett,Hotel,Cash,1850.37,146.79,1997.16,2024-02-22,United Kingdom,ADMN
Paige Craig,Hotel,Cash,964.19,39.56,1003.75,2023-01-31,United States,ENGG
Donald Hurst,Meals,Card,347.0,20.03,367.03,2023-05-11,Germany,FINC
Jack Gibson,Meals,Cash,1879.3,156.45,2035.75,2023-04-25,Australia,ADMN
Jennifer Jones,Hotel,Cash,480.13,37.89,518.02,2024-06-02,United States,ADMN
Connor Evans,Hotel,Card,1620.55,61.76,1682.31,2023-03-25,Germany,SALS
Betty Gregory,Air,Card,1608.03,63.67,1671.7,2024-09-12,India,ADMN
Justin Paul,Car,Card,868.12,53.66,921.78,2023-01-29,United States,EXEC
Edward Becker,Hotel,Card,128.06,10.76,138.82,2023-12-05,India,FINC
Joshua Flores,Car,Card,575.04,33.34,608.38,2023-03-23,Canada,ADMN
Tonya Garza,Hotel,Card,1228.57,115.21,1343.78,2024-02-21,United Kingdom,FINC
James Wilson,Meals,Card,286.71,26.51,313.22,2024-09-18,Germany,FINC
James Walker,Car,Cash,1331.58,28.11,1359.69,2023-04-04,India,FINC
Brian Hill,Car,Cash,151.1,14.86,165.96,2024-02-05,United States,EXEC
Benjamin Montgomery,Meals,Cash,707.36,35.53,742.89,2024-08-16,Australia,SALS
Lisa Nelson,Car,Card,372.96,15.66,388.62,2024-01-18,United States,ADMN
Robert Miller,Hotel,Card,1077.71,80.46,1158.17,2023-02-01,Australia,SALS
Kristin Christian,Hotel,Card,1475.62,136.46,1612.08,2024-05-29,India,FINC
Joyce Hayes,Hotel,Cash,1782.51,141.17,1923.68,2024-06-04,India,FINC
Kelsey Mullins,Air,Cash,430.67,42.11,472.78,2023-12-06,Australia,FINC
Philip Cooper,Air,Cash,256.46,6.93,263.39,2024-07-31,India,SALS
Jason Lewis,Meals,Cash,1450.16,134.75,1584.91,2024-04-29,Germany,EXEC
James Aguilar,Air,Cash,678.63,57.22,735.85,2023-02-03,Germany,EXEC
Brian Summers,Air,Card,1939.93,150.07,2090.0,2024-09-05,United States,ENGG
Catherine Hall,Meals,Cash,1819.71,92.43,1912.14,2023-05-15,United Kingdom,ENGG
Sara Monroe,Meals,Card,1799.88,60.84,1860.72,2024-08-08,Australia,SALS
Michael Wilson,Car,Card,111.66,9.36,121.02,2023-07-05,United Kingdom,EXEC
Shannon Bishop,Air,Cash,559.82,21.25,581.07,2024-02-10,India,EXEC
Matthew Larsen,Meals,Card,1171.52,110.99,1282.51,2024-10-26,Germany,FINC
Mr. David Potter,Car,Card,980.87,72.26,1053.13,2024-02-16,Germany,EXEC
Mr. Justin Hunt,Air,Cash,1477.64,120.02,1597.66,2024-06-18,United States,ADMN
Ashley Smith,Hotel,Cash,958.43,58.2,1016.63,2023-09-10,India,FINC
Shaun Garrett,Air,Cash,1091.88,30.65,1122.53,2024-07-03,Canada,ADMN
Steven Young,Meals,Cash,1552.34,81.47,1633.81,2023-01-17,India,EXEC
Grant Owens,Air,Card,495.97,47.8,543.77,2023-11-10,India,EXEC
Lisa Patel,Air,Card,935.02,52.76,987.78,2024-12-28,Germany,SALS
Brett Miller,Air,Card,411.96,23.3,435.26,2024-02-09,United States,ENGG
Cassie Vargas,Hotel,Card,1003.61,22.86,1026.47,2024-12-27,Australia,SALS
Dr. Theresa Carson,Hotel,Card,1207.47,83.36,1290.83,2024-03-14,United Kingdom,ADMN
Susan Johnson,Meals,Card,1788.54,125.57,1914.11,2023-07-31,United Kingdom,ENGG
Teresa Snyder,Hotel,Card,1573.55,61.84,1635.39,2023-02-14,United Kingdom,SALS
Pamela Smith,Meals,Card,1980.67,179.88,2160.55,2023-10-03,India,FINC
Tiffany Mendez,Car,Card,834.46,52.42,886.88,2024-08-09,Canada,EXEC
Ashley Olsen,Hotel,Cash,583.84,40.16,624.0,2024-02-09,Canada,EXEC
Andrew English,Car,Card,1731.13,137.74,1868.87,2024-02-21,Germany,EXEC
Kimberly Moran,Hotel,Cash,629.07,55.36,684.43,2024-09-20,United Kingdom,ENGG
Michael Davis,Meals,Card,1948.52,108.11,2056.63,2023-06-22,United Kingdom,EXEC
Kristin Harris,Meals,Cash,486.1,41.02,527.12,2024-05-30,Germany,ENGG
Dana Davis DDS,Car,Cash,207.23,12.48,219.71,2024-08-02,United States,ENGG
Michael Hicks,Air,Card,1314.36,37.54,1351.9,2024-07-18,Canada,ENGG
Dr. Destiny Patel,Air,Cash,352.17,28.42,380.59,2024-08-14,United Kingdom,ENGG
Heather Johnston DVM,Air,Card,852.25,25.98,878.23,2023-05-29,Germany,ADMN
Jennifer Chapman,Car,Cash,1713.16,82.95,1796.11,2023-07-28,United Kingdom,SALS
Maria Montgomery,Meals,Cash,529.15,41.84,570.99,2023-03-27,United States,ADMN
Daniel Thompson,Car,Cash,1157.47,93.85,1251.32,2023-12-27,United States,EXEC
Edward Casey,Car,Cash,358.95,17.01,375.96,2023-09-06,United States,ADMN
Mario Marquez,Hotel,Cash,1914.81,186.89,2101.7,2024-03-10,Australia,FINC
Michelle Davis,Meals,Card,1397.24,100.27,1497.51,2023-01-20,United States,FINC
Cynthia Webb,Air,Cash,1866.03,158.68,2024.71,2024-01-22,India,ADMN
Matthew Hopkins,Car,Cash,1084.12,26.51,1110.63,2023-09-02,United Kingdom,EXEC
Dustin Fields,Hotel,Cash,1935.61,75.67,2011.28,2023-03-10,Australia,SALS
Janet Hamilton,Air,Card,723.71,51.16,774.87,2024-08-21,United States,EXEC
Melanie Mejia,Hotel,Card,635.48,20.12,655.6,2024-03-22,India,ENGG
Spencer Simmons,Car,Card,1989.99,161.03,2151.02,2024-08-13,Canada,ADMN
Jesse Conway,Air,Cash,495.16,36.35,531.51,2024-02-02,United States,FINC
Kendra Lee,Car,Cash,1973.43,141.96,2115.39,2023-10-26,Australia,EXEC
Robin Bell,Air,Card,1687.07,94.52,1781.59,2023-11-11,Canada,ADMN
Natalie King,Car,Card,914.54,26.12,940.66,2024-11-25,Canada,FINC
Mason Arias,Hotel,Cash,872.6,41.76,914.36,2024-06-24,Australia,SALS
Zachary Sims,Car,Cash,600.55,44.82,645.37,2023-05-13,Australia,SALS
David Murray,Car,Cash,1792.0,73.13,1865.13,2023-04-01,United States,SALS
Adam Conrad,Car,Cash,640.35,50.22,690.57,2023-09-29,United Kingdom,SALS
Kathleen Davis,Hotel,Cash,1285.19,32.6,1317.79,2023-09-25,Canada,FINC
Collin Vaughan,Hotel,Cash,1219.91,57.56,1277.47,2024-08-15,United Kingdom,FINC
Abigail Armstrong,Hotel,Cash,1025.15,92.85,1118.0,2024-11-09,Australia,FINC
Veronica Taylor,Air,Cash,1528.97,120.67,1649.64,2023-12-18,Australia,SALS
Kim Wilson,Car,Card,618.54,39.42,657.96,2024-04-06,United States,FINC
Adam Long,Meals,Cash,1193.44,67.32,1260.76,2023-11-19,Canada,ADMN
Tonya Hunter,Car,Cash,485.25,38.35,523.6,2024-12-22,United States,ENGG
Wendy Oconnor,Air,Card,1415.41,70.08,1485.49,2023-09-08,Canada,ENGG
Jennifer Brown,Car,Cash,1207.98,64.88,1272.86,2024-08-12,United Kingdom,ENGG
Roger Simmons,Air,Card,585.47,54.31,639.78,2023-11-22,United States,ADMN
Shelby Meyer,Car,Card,458.71,40.75,499.46,2023-08-18,Germany,ADMN
Jeremy Lopez,Air,Cash,1794.02,120.47,1914.49,2023-04-18,Australia,ADMN
Timothy Davis,Hotel,Cash,1539.29,117.02,1656.31,2024-06-15,Germany,ENGG
Thomas Meadows,Air,Card,272.76,6.36,279.12,2024-04-12,United Kingdom,EXEC
Jorge Singh,Air,Cash,1378.86,49.38,1428.24,2023-07-30,India,ADMN
Christian Jennings,Car,Card,1557.68,104.9,1662.58,2023-11-26,Germany,EXEC
Tiffany Sanchez,Hotel,Cash,1669.59,35.45,1705.04,2023-05-29,United Kingdom,SALS
Tim Obrien,Car,Card,1671.7,69.95,1741.65,2024-11-24,Australia,ENGG
Marcus Johnson,Air,Cash,699.46,30.99,730.45,2023-04-21,Australia,FINC
Miranda Higgins,Meals,Cash,1124.8,76.66,1201.46,2024-12-28,United States,ENGG
David Davis,Hotel,Cash,539.21,14.94,554.15,2024-01-01,United States,EXEC
Aaron Randall,Meals,Card,610.6,36.97,647.57,2023-03-16,United States,EXEC
Lucas Richards,Car,Card,666.93,66.01,732.94,2024-07-07,United Kingdom,SALS
Kimberly Brown,Meals,Card,1864.18,179.19,2043.37,2023-08-03,Canada,ADMN
Yolanda Sandoval,Meals,Cash,1415.32,47.05,1462.37,2024-02-06,United Kingdom,SALS
Kathleen Weeks,Meals,Cash,1357.31,96.16,1453.47,2023-07-08,Canada,ENGG
Jacob Stein,Car,Card,1280.96,104.17,1385.13,2023-10-24,Canada,EXEC
Robert Watkins,Air,Cash,1195.03,61.34,1256.37,2023-06-06,Canada,ADMN
Cassandra Gilmore,Meals,Card,745.0,66.38,811.38,2024-06-23,United States,ADMN
Justin Bowen,Hotel,Cash,931.22,83.31,1014.53,2023-08-05,Canada,EXEC
Robin Hughes,Meals,Cash,1167.19,96.16,1263.35,2023-07-19,Australia,FINC
Julie Ingram,Meals,Card,1818.51,140.85,1959.36,2023-08-10,Canada,ENGG
Jessica Duke,Hotel,Cash,571.24,50.0,621.24,2023-09-22,Australia,SALS
Sara Clark,Meals,Cash,932.18,34.72,966.9,2024-12-13,Australia,SALS
John Allen,Hotel,Card,1651.96,62.72,1714.68,2024-07-25,United States,EXEC
Erika Chavez,Car,Cash,1785.59,159.6,1945.19,2023-11-20,Australia,FINC
Omar Jordan,Air,Card,357.71,32.87,390.58,2023-03-12,Canada,EXEC
Angela Johnson,Meals,Cash,684.67,42.13,726.8,2024-02-08,United States,SALS
Sergio Love,Hotel,Card,1315.99,54.48,1370.47,2024-10-01,Canada,SALS
Timothy Turner,Meals,Cash,375.65,27.31,402.96,2024-07-05,United States,ENGG
Carol Bowen,Meals,Card,1126.14,61.91,1188.05,2023-07-16,United States,FINC
Nicholas Harvey,Air,Card,520.81,20.62,541.43,2023-01-03,United States,EXEC
Bill Johnson,Meals,Card,1232.39,100.87,1333.26,2024-09-15,United Kingdom,SALS
Donald Bryant,Hotel,Card,731.31,27.72,759.03,2023-11-04,United States,ADMN
Johnny Smith,Hotel,Cash,747.83,49.09,796.92,2023-01-28,Canada,FINC
Jennifer Ford,Car,Card,1138.2,83.18,1221.38,2024-03-18,Canada,EXEC
William Miller,Hotel,Card,943.76,55.06,998.82,2024-04-16,Germany,ENGG
Amy Allen,Air,Cash,1838.53,39.62,1878.15,2024-10-06,Canada,SALS
Corey Hayes,Car,Cash,1471.72,130.54,1602.26,2024-03-25,Canada,FINC
Michelle Castillo,Meals,Card,659.44,25.25,684.69,2024-01-14,Canada,ENGG
Amanda Sutton,Meals,Card,376.35,22.43,398.78,2024-04-26,Germany,EXEC
Tara Hall,Air,Cash,830.21,29.14,859.35,2023-12-05,United Kingdom,FINC
Ryan Johnson,Meals,Card,1061.55,58.66,1120.21,2024-10-21,Australia,ADMN
Paul Mora,Air,Cash,908.76,45.68,954.44,2024-09-26,Australia,EXEC
Dawn Rhodes,Car,Card,394.85,15.01,409.86,2023-08-12,Germany,SALS
Anthony Browning,Car,Cash,363.2,31.2,394.4,2024-05-19,India,ADMN
Dr. Ruth Smith,Meals,Card,754.74,56.83,811.57,2024-08-20,Australia,SALS
Mr. James Harrison,Meals,Card,1833.34,182.87,2016.21,2024-05-18,India,ADMN
Lisa Turner,Car,Card,404.92,11.92,416.84,2024-08-19,Germany,ENGG
Marissa Kramer MD,Air,Card,283.45,7.36,290.81,2023-06-28,Canada,ENGG
Eric Moore,Hotel,Cash,65.69,5.74,71.43,2024-09-10,India,SALS
James Turner,Car,Card,1842.78,159.07,2001.85,2024-03-29,United States,FINC
Grant Melendez,Air,Card,700.16,65.94,766.1,2024-01-13,Germany,ENGG
Christina Johnson,Hotel,Cash,1983.94,111.48,2095.42,2024-12-05,India,SALS
James Schneider,Hotel,Card,1547.16,137.19,1684.35,2023-03-07,Australia,SALS
Brooke Campbell,Meals,Card,1221.04,43.81,1264.85,2024-04-02,United Kingdom,EXEC
Jeffrey Russell,Air,Cash,1997.63,112.15,2109.78,2024-03-18,Australia,FINC
Patrick Martin,Car,Cash,1361.83,104.79,1466.62,2024-02-16,India,EXEC
Oscar Hernandez,Meals,Cash,1497.69,131.11,1628.8,2024-08-29,United States,EXEC
Amanda Barron,Meals,Cash,1936.0,61.81,1997.81,2023-03-06,Germany,ENGG
Earl Ellis,Car,Card,514.42,35.6,550.02,2023-04-12,Canada,FINC
Jessica Lewis,Meals,Card,630.01,60.82,690.83,2023-06-28,India,EXEC
Kerry Reyes,Air,Cash,63.07,2.78,65.85,2023-01-26,United Kingdom,FINC
Grant Holloway,Hotel,Card,1382.08,123.94,1506.02,2023-10-21,Germany,ENGG
Bruce Fischer,Meals,Card,946.85,51.25,998.1,2024-04-11,Germany,FINC
David Wilson,Car,Card,1639.82,67.2,1707.02,2024-01-06,Canada,SALS
Nathan Mcdonald,Hotel,Cash,1244.1,92.67,1336.77,2023-04-25,Australia,EXEC
Jill Summers,Air,Cash,155.69,11.41,167.1,2023-08-07,Germany,SALS
Samuel Oneill,Air,Card,1373.16,104.85,1478.01,2024-09-12,United Kingdom,FINC
Robert Green,Car,Cash,1379.57,88.85,1468.42,2024-09-29,Australia,ENGG
Craig Gates,Meals,Card,1848.37,61.74,1910.11,2024-08-09,Germany,FINC
